,radon_total_complexity,radon_num_items,pylint_msgs_count,pylint_rc,bandit_issues_count,bandit_rc
count,10757.0,10757.0,10757.0,10757.0,10757.0,10757.0
mean,126.96309379938644,59.14753183973227,102.20228688295994,27.622013572557403,2.4534721576647764,0.39202379845681884
std,156.8382176340349,75.95116998387773,140.78841903685162,4.388034238266726,9.08560156015154,0.48822463969096797
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,25.0,12.0,22.0,26.0,0.0,0.0
50%,70.0,33.0,50.0,30.0,0.0,0.0
75%,150.0,80.0,126.0,30.0,2.0,1.0
max,690.0,529.0,922.0,30.0,94.0,1.0
