,0,1,accuracy,macro avg,weighted avg
precision,0.12392918332381496,0.9067412736477485,0.3970437854420377,0.5153352284857817,0.8181045602504675
recall,0.7126436781609196,0.35674599014571756,0.3970437854420377,0.5346948341533185,0.3970437854420377
f1-score,0.21114084164436878,0.5120373156786037,0.3970437854420377,0.3615890786614862,0.47796723058297313
support,1218.0,9539.0,0.3970437854420377,10757.0,10757.0
