,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1
RandomForest,0.26559128761291506,0.020339775085449218,0.3927671317395385,0.9047188548490507,0.35234246772620786,0.5071267106376796
SVM,8.640998649597169,0.7482214450836182,0.295433005138096,0.903083369383055,0.23000217668767503,0.366439162735002
LogReg,0.004772996902465821,0.005341482162475586,0.24421160556428326,0.8858985397201623,0.16951482950928887,0.2844978078090737
