snapshot_path,rel_path,radon_total_complexity,radon_num_items,pylint_msgs_count,pylint_rc,bandit_issues_count,bandit_rc
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\error.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\error.py,6,3,4,24,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\geometries.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\geometries.py,181,106,57,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\srs.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\srs.py,71,40,22,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\__init__.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\__init__.py,0,0,9,2,0,0
snapshots\ff225fac1d129d4bcfef0aeb03df6f3b20fbb23d\django\db\backends\sqlite3\features.py,ff225fac1d129d4bcfef0aeb03df6f3b20fbb23d\django\db\backends\sqlite3\features.py,10,6,14,18,0,0
snapshots\ff0ff98d427982b7225df59f454a86bdf66251d6\django\test\selenium.py,ff0ff98d427982b7225df59f454a86bdf66251d6\django\test\selenium.py,66,28,48,30,1,1
snapshots\ff0ff98d427982b7225df59f454a86bdf66251d6\django\contrib\admin\tests.py,ff0ff98d427982b7225df59f454a86bdf66251d6\django\contrib\admin\tests.py,24,19,62,18,0,0
snapshots\fee87345967b3d917b618533585076cbfa43451b\tests\postgres_tests\test_aggregates.py,fee87345967b3d917b618533585076cbfa43451b\tests\postgres_tests\test_aggregates.py,85,70,90,26,0,0
snapshots\fee87345967b3d917b618533585076cbfa43451b\django\contrib\postgres\aggregates\general.py,fee87345967b3d917b618533585076cbfa43451b\django\contrib\postgres\aggregates\general.py,20,12,24,30,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\test_array.py,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\test_array.py,187,155,232,30,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0001_initial.py,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0001_initial.py,1,1,6,26,0,0
